,text,link
12,Personal Loan,/personal-loan
13,Flexi Loan,/flexi-loans
14,Personal Loan for Wedding,/personal-loan-for-wedding
15,Personal Loan for Travel,/personal-loan-for-travel
16,Personal Loan for Medical Emergency,/personal-loan-for-medical-emergency
17,Contact Us,/personal-loan-contact-details
18,Apply Now,/home-loan-form
19,Home Loan,/home-loan
20,Pradhan Mantri Awas Yojana,/home-loan-pradhan-mantri-awas-yojana
21,Home Loan Balance Transfer,/home-loan-balance-transfer
22,Top Up Loan,/top-up-loan
23,EHome Loan,/e-home-loan
36,Apply Now,/business-loan-form
37,Business Loan Against Property,/secured-business-loan
38,Working Capital Loan,/working-capital-loan
39,Machinery Loan,/equipment-machinery-loan
40,Business Loan For Women,/business-loan-for-women
41,SME MSME  Loan,/sme-msme-loan
42,Personal Loan For Self Employed,/personal-loan-for-self-employed
43,Term Loan,/business-term-loans
44,Startup Business Loans,/start-up-business-loans
45,Channel Financing,/channel-financing
46,Invoice Finance,/invoice-financing
47,Mortgage Loan,/mortgage-loan
48,Loan Against Property Eligibility,/loan-against-property-eligibility-and-documents
49,Reviews,/loan-against-property-reviews
50,Education Loan on Property,/education-loan-on-property
51,Check PreApproved Offer,apply-for-credit-card?utm_source=Website&utm_medium=Organic&utm_campaign=apply__now
52,New,apply-for-credit-card?utm_source=Website&utm_medium=Organic&utm_campaign=apply__now
53,Product Info,/super-card
54,How to Apply,/how-to-apply-for-a-credit-card
55,Contact Us,/credit-card-contact-details
68,Apply Now,/apply-for-doctor-loan
69,Personal Loan for Doctors,/personal-loan-for-doctors
70,Business Loan for Doctors,/business-loan-for-doctors
71,Loan Against Property For Doctors,/loan-against-property-for-doctors
72,Indemnity Insurance,/professional-indemnity-insurance-policy-for-doctors
73,New,/professional-indemnity-insurance-policy-for-doctors
75,Apply Now,/chartered-accountant-loan-application-form
76,Personal Loan For Chartered Accountants,/personal-loan-for-chartered-accountants
77,Business Loan For Chartered Accountants,/business-loan-for-chartered-accountants
78,Loan Against Property For Chartered Accountants,/loan-against-property-chartered-accountants
91,Apply Now,/loan-against-car-application-form
92,New,/loan-against-car-application-form
93,Product Information,/loan-against-car
94,FAQ's,/loan-against-car-faqs
95,Check Preapproved Offer,/pre-approved-personal-loan-offer
96,Personal Loan EMI Calculator,/personal-loan-emi-calculator
97,Personal Loan Eligibility Calculator,/personal-loan-eligibility-calculator
98,Personal Loan Interest Rate,/personal-loan-processing-fees-and-interest-rates
99,Hybrid Flexi Personal Loan EMI Calculator,/hybrid-flexi-personal-loan-emi-calculator
100,Flexi Personal Loan,/flexi-loans
101,FAQs,/personal-loan-faq-questions
102,Contact Us,/personal-loan-contact-details
103,Check Preapproved Offer,/check-pre-approved-doctors-loan-offer
104,New,/check-pre-approved-doctors-loan-offer
105,Personal Loan for Doctors,/personal-loan-for-doctors
106,Business Loan for Doctors,/business-loan-for-doctors
107,Loan Against Property For Doctors,/loan-against-property-for-doctors
108,Loan Against Car,/loan-against-car
109,New,/loan-against-car
110,Balance Transfer and Topup,/car-loan-balance-transfer-and-top-up
111,New,/car-loan-balance-transfer-and-top-up
112,Used Car Finance,/used-car-finance
113,Hybrid Flexi Car Loan,/used-car-finance-with-hybrid-flexi-facility
114,New,/used-car-finance-with-hybrid-flexi-facility
115,Product Information,/loan-against-fixed-deposit
116,FAQs,/loan-against-fixed-deposit-faq-questionss
117,Features and Benefits,/fixed-deposit
118,Fixed Deposit Calculator,/fixed-deposit-calculators
119,FD Interest Rates,/fixed-deposit-fees-and-interest-rates
120,Senior Citizen FD,/fixed-deposit-for-senior-citizen
121,FD Eligibility  Required Documents,/fixed-deposit-eligibility-and-documents
122,FAQs,/fixed-deposit-faq
124,National Pension Scheme,/fixed-deposit/nps-national-pension-scheme
125,PF,/all-about-pf-provident-funds
133,SuperCard,/super-card
134,Credit Card,/credit-card
135,Credit Card Eligibility Criteria,/credit-card-eligibility-and-documents
136,Track Credit Card Application Status,/track-credit-card-application-status
137,Credit Card Bill Payment,/credit-card-bill-payment
138,Credit Card Offers,/credit-card-offers
139,Credit Card Contact Details,/rbl-credit-card-contact-details
140,Bajaj Finserv Health,/healthcare-services-by-bajaj-finserv-health
141,COVID,/covid-19-symptoms-preventions-and-treatment
143,How to Open demat account,/insights/how-to-open-demat-account
144,Eligibility and Documents,/eligibility-and-documents-required-to-open-demat-and-trading-account
145,Fees and Charges,/demat-trading-account-fees-and-charges
146,Low Brokerage Demat and Trading Account,/low-brokerage-trading-and-demat-account
148,IPO,/upcoming-ipo
162,FAQs,/health-insurances-faq-questions
163,Product Information,/health-insurance
164,Product Information,/car-insurance
165,Third Party Car Insurance,/third-party-car-insurance
166,FAQs,/car-insurance-frequently-asked-questions
167,Product Information,/home-insurance
168,FAQs,/home-insurances-faq-questions
169,Product Information,/life-insurance-child-plans
170,Product Information,/life-insurance-savings-plans
171,COVID Protection Cover,/covid-19-protection-cover
172,Mobile Protection Plan,/mobile-screen-insurance
173,Wallet Care,/wallet-protect-card-protection-insurance-plan
174,Key Safeguard,/key-replacement-insurance-cover
175,Eyewear Assure,/eyewear-assure
176,Cycle Insurance,/cycle-insurance-cover
177,Cyber Security Cover,/cyber-security-cover
178,COVID Protection Cover,/covid-19-protection-cover
179,Key Safeguard,/key-replacement-insurance-cover
180,Handbag Assure,/handbag-assure
181,Dance Accident Insurance,/dance-accident-insurance
182,Product Information,/extended-warranty
183,FAQs,/extended-warranty-faq
184,Coverage Details,/open-extended-warranty-coverage
185,Product Information,/bajaj-finserv-wallet-digital-emi-network-card
186,Reviews,/bajaj-finserv-wallet-reviews
187,Contact Us,/bajaj-finserv-wallet-contact-us
188,Insta Credit,/insta-credit-on-emi-card
225,Travel on No Cost EMI,/no-cost-emi-on-makemytrip?utm_source=HotOffers&utm_medium=TravelonEMI
239,BLUESTAR,/emi-network-bluestar-air-conditioners
240,GODREJ,/emi-network-godrej-air-conditioners
241,HAIER,/emi-network-haier-air-conditioners
242,HITACHI,/emi-network-hitachi-air-conditioners
243,LG,/emi-network-lg-air-conditioners
244,LLOYD,/emi-network-lloyd-air-conditioners
245,ONIDA,/emi-network-onida-ac
246,VOLTAS,/emi-network-voltas-air-conditioners
247,WHIRLPOOL,/emi-network-whirlpool-air-conditioners
248,TCL,/emi-network-tcl-air-conditioners
249,O GENERAL,/emi-network-eta-o-general-air-conditioners
250,LENOVO,/emi-network-lenovo-laptops
251,IBALL,/emi-network-iball-laptops
252,HP,/emi-network-hp-laptop
253,DELL,/emi-network-dell-laptop
254,ASUS,/emi-network-asus-laptops
255,HAIER,/emi-network-haier-led-tv
256,LG,/emi-network-lg-televisions
257,LLOYD,/emi-network-lloyd-television
258,ONIDA,/emi-network-onida-tv
259,SAMSUNG,/emi-network-samsung-tv
260,SONY,/emi-network-sony-led-tv
261,TCL,/emi-network-tcl-televisions
262,VU,/emi-network-vu-tv
263,Insta EMI Card,/insta-emi-network-card-apply-online
264,Features and Benefits,/emi-network-emi-card
265,Eligibility and Documents,/emi-network-emi-card-eligibility
266,EMI Without Credit Card,/emi-network-emi-without-credit-card
267,Reviews and Ratings,/emi-network-emi-card-reviews
268,FAQs,/emi-network-emi-card-faq
269,Contact Us,/emi-network-emi-card-contact-details
270,Future Group EMI Card,/future-group-co-branded-emi-network
286,Features and Benefits,/emi-network-health-emi-card
287,Eligibility and Documents,/emi-network-health-emi-card-eligibility
288,Reviews and Ratings,/emi-network-health-emi-card-reviews
289,Contact Us,/emi-network-health-emi-card-contact-details
290,Flipkart,/shop-online-flipkart
291,Amazon,/shop-online-amazon
292,Samsung,/shop-online-samsung
293,micom,/shop-online-mi
294,Vivo,/shop-online-vivo
295,Realme,/shop-online-realme
296,OnePlus,/shop-online-oneplus
297,Oppo,/shop-online-oppo
298,iQOO,/shop-online-iqoo
299,Zebrscom,/shop-online-zebrs
300,Zebrscom,/shop-online-zebrs
301,Flipkart,/shop-online-flipkart
302,Amazon,/shop-online-amazon
303,Air Conditioners,/emi-network-ac-air-conditioner
304,Air Coolers,/emi-network-air-cooler-on-emi
305,Refrigerators,/emi-network-refrigerator-on-emi
